7
21
0: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\mus_musculus_aa.txt
1: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\pongo_pygmaeus_aa.txt
2: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\bos_taurus_aa.txt
3: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\canis_lupus_aa.txt
4: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\gorilla_gorilla_aa.txt
5: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\homo_sapien_aa.txt
6: C:\Users\Cyrus\Documents\GitHub\BReastCAncer\PairwiseAlignment\src\pairwisealignment\input_files\homo_sapien_mutant_aa.txt
0 1 205
0 2 146
0 3 147
0 4 191
0 5 187
0 6 96
1 2 797
1 3 892
1 4 1756
1 5 1744
1 6 296
2 3 798
2 4 787
2 5 789
2 6 169
3 4 888
3 5 888
3 6 176
4 5 1788
4 6 311
5 6 318
